Image,Graffiti,Vandalism,Fading,Deformation,Dirt,Rusting,Collapse,Other
front_pano_000025_001155_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000025_001179_crop_0_crop.jpg,Yes,Yes,Yes,No,Yes,No,,No
front_pano_000025_001180_crop_0_crop.jpg,No,Yes,No,No,No,No,,No
front_pano_000025_001184_crop_0_crop.jpg,No,No,,No,Yes,No,,No
front_pano_000025_001304_crop_0_crop.jpg,No,No,Yes,Yes,Yes,Yes,,No
front_pano_000025_001305_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000025_001316_crop_0_crop.jpg,No,No,No,No,No,No,,No
front_pano_000025_001319_crop_0_crop.jpg,No,No,No,No,No,No,,No
front_pano_000025_001341_crop_0_crop.jpg,Yes,Yes,Yes,No,Yes,No,,No
front_pano_000025_001399_crop_0_crop.jpg,Yes,No,Yes,No,Yes,No,,No
front_pano_000025_001671_crop_0_crop.jpg,No,No,No,Yes,No,No,,No
front_pano_000025_002429_crop_0_crop.jpg,No,No,No,No,No,No,,No
front_pano_000025_002436_crop_0_crop.jpg,No,No,No,No,No,No,,No
front_pano_000025_002438_crop_0_crop.jpg,Yes,No,Yes,No,Yes,No,,No
front_pano_000025_002439_crop_0_crop.jpg,No,No,Yes,No,No,No,,No
front_pano_000025_002442_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000026_002286_crop_0_crop.jpg,No,No,Yes,No,No,No,,No
front_pano_000026_002287_crop_0_crop.jpg,No,No,No,No,No,No,,No
front_pano_000026_002288_crop_0_crop.jpg,No,No,No,No,No,No,,No
front_pano_000026_002289_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000026_002293_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000026_002455_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000026_002458_crop_0_crop.jpg,No,No,Yes,No,No,No,,No
front_pano_000026_002460_crop_0_crop.jpg,No,No,No,No,No,No,,No
front_pano_000026_002461_crop_0_crop.jpg,No,No,No,No,No,No,,No
front_pano_000026_002463_crop_0_crop.jpg,No,No,No,No,Yes,No,,No
front_pano_000026_002470_crop_0_crop.jpg,No,No,No,No,No,No,,No
front_pano_000026_002471_crop_0_crop.jpg,No,No,Yes,No,Yes,Yes,,No
front_pano_000026_002472_crop_0_crop.jpg,No,No,Yes,No,Yes,Yes,,No
front_pano_000026_002606_crop_0_crop.jpg,No,No,Yes,No,No,No,,No
front_pano_000026_002607_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000026_002618_crop_0_crop.jpg,Yes,No,Yes,Yes,Yes,No,,No
front_pano_000026_002620_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000026_002622_crop_0_crop.jpg,Yes,Yes,Yes,No,Yes,No,,No
front_pano_000026_002626_crop_0_crop.jpg,No,Yes,Yes,No,Yes,No,,No
front_pano_000026_002701_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000026_002702_crop_0_crop.jpg,No,Yes,,No,No,No,,No
front_pano_000026_002703_crop_0_crop.jpg,No,No,Yes,No,No,No,,No
front_pano_000026_002705_crop_0_crop.jpg,No,No,Yes,No,No,No,,No
front_pano_000026_002707_crop_0_crop.jpg,No,No,Yes,No,No,No,,No
front_pano_000026_002730_crop_0_crop.jpg,No,Yes,Yes,No,Yes,No,,No
front_pano_000026_002733_crop_0_crop.jpg,No,Yes,Yes,No,Yes,Yes,,
front_pano_000026_002754_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000026_002851_crop_0_crop.jpg,No,No,No,No,No,No,,No
front_pano_000026_003170_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000026_003409_crop_0_crop.jpg,No,No,Yes,No,No,No,,No
front_pano_000026_003413_crop_0_crop.jpg,No,No,No,No,Yes,No,,No
front_pano_000026_003414_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000026_003416_crop_0_crop.jpg,No,No,Yes,Yes,Yes,No,,No
front_pano_000026_003417_crop_0_crop.jpg,No,No,Yes,No,No,No,,No
front_pano_000026_003418_crop_0_crop.jpg,No,Yes,No,No,No,No,,No
front_pano_000026_003419_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000026_003421_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000026_003422_crop_0_crop.jpg,,,,,,,,
front_pano_000027_000065_crop_0_crop.jpg,No,No,Yes,Yes,No,Yes,,No
front_pano_000027_000067_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000027_000070_crop_0_crop.jpg,Yes,Yes,No,No,Yes,No,,No
front_pano_000027_000083_crop_0_crop.jpg,No,No,Yes,Yes,Yes,,,No
front_pano_000027_000084_crop_0_crop.jpg,No,No,Yes,No,No,No,,No
front_pano_000027_000104_crop_0_crop.jpg,No,Yes,Yes,No,Yes,No,,No
front_pano_000027_000105_crop_0_crop.jpg,No,No,Yes,No,No,No,,No
front_pano_000027_000106_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000027_000108_crop_0_crop.jpg,Yes,Yes,Yes,No,Yes,No,,No
front_pano_000027_000449_crop_0_crop.jpg,No,No,Yes,Yes,Yes,No,,No
front_pano_000028_000232_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000028_000235_crop_0_crop.jpg,No,No,Yes,No,No,No,,No
front_pano_000028_000238_crop_0_crop.jpg,,,,,,,,
front_pano_000028_000241_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000028_000244_crop_0_crop.jpg,Yes,Yes,No,No,No,No,,No
front_pano_000030_000043_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000030_000049_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000030_000054_crop_0_crop.jpg,No,No,Yes,No,No,No,,No
front_pano_000030_000056_crop_0_crop.jpg,No,Yes,,No,,No,,No
front_pano_000030_000058_crop_0_crop.jpg,No,No,Yes,No,Yes,Yes,,No
front_pano_000030_000060_crop_0_crop.jpg,No,Yes,,Yes,,No,,No
front_pano_000030_000062_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000030_000064_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000030_000096_crop_0_crop.jpg,No,No,No,Yes,No,No,,No
front_pano_000030_000097_crop_0_crop.jpg,No,No,Yes,No,No,No,,No
front_pano_000030_000099_crop_0_crop.jpg,Yes,Yes,No,No,No,No,,No
front_pano_000030_000101_crop_0_crop.jpg,No,No,Yes,No,No,No,,No
front_pano_000030_000102_crop_0_crop.jpg,No,No,Yes,Yes,Yes,No,,No
front_pano_000030_000145_crop_0_crop.jpg,No,Yes,Yes,No,Yes,No,,No
front_pano_000030_000147_crop_0_crop.jpg,No,No,Yes,No,Yes,Yes,,No
front_pano_000030_000148_crop_0_crop.jpg,No,Yes,Yes,No,No,No,,No
front_pano_000030_000170_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000030_000171_crop_0_crop.jpg,Yes,Yes,Yes,No,Yes,No,,No
front_pano_000030_000172_crop_0_crop.jpg,Yes,Yes,Yes,No,Yes,No,,No
front_pano_000030_000464_crop.jpg,No,No,No,No,No,No,,No
front_pano_000030_000491_crop.jpg,No,No,No,No,No,No,,No
